artist|popularity
Miley Cyrus|87
FIFTY FIFTY|80
ROSALÍA|84
PinkPantheress|79
Metro Boomin|91
David Kushner|79
KAROL G|89
Rema|80
Taylor Swift|100
d4vd|80
David Guetta|88
SZA|89
The Weeknd|95
OneRepublic|83
Bizarrap|85
The Weeknd|95
Stephen Sanchez|77
Tom Odell|76
Harry Styles|88
The Weeknd|95
Bad Bunny|96
Eminem|90
Coi Leray|80
Taylor Swift|100
RAYE|77
Bad Bunny|96
Drake|95
Miguel|79
The Neighbourhood|83
Sam Smith|84
Taylor Swift|100
Ruth B.|74
NewJeans|79
Bad Bunny|96
JVKE|82
Glass Animals|76
Manuel Turizo|83
Morgan Wallen|90
Billie Eilish|87
Meghan Trainor|78
Sabrina Carpenter|77
Ed Sheeran|90
Drake|95
Bad Bunny|96
Harry Styles|88
Eminem|90
Yandel|79
Coldplay|88
The Weeknd|95
Arctic Monkeys|86
The Weeknd|95
Ed Sheeran|90
Harry Styles|88
Taylor Swift|100
Labrinth|80
One Direction|85
The Weeknd|95
Lewis Capaldi|82
Eminem|90
Bruno Mars|87
Taylor Swift|100
Post Malone|88
Justin Bieber|89
Conan Gray|79
The Walters|69
Bruno Mars|87
Taylor Swift|100
Bad Bunny|96
Drake|95
Calvin Harris|86
Frank Ocean|83
Ed Sheeran|90
Ed Sheeran|90
The Weeknd|95
Coldplay|88
Arctic Monkeys|86
Ed Sheeran|90
Billie Eilish|87
Kanye West|90
Niall Horan|79
Sam Smith|84
Linkin Park|85
Arcángel|83
Central Cee|82
Elley Duhé|76
The Killers|76
Linkin Park|85
Ed Sheeran|90
James Arthur|81
The Chainsmokers|80
Keane|73
The Kid LAROI|79
Twenty One Pilots|79
Taylor Swift|100
Avicii|81
Imagine Dragons|87
Olivia Rodrigo|82
Avicii|81
Lost Frequencies|77
Doja Cat|85
Ariana Grande|88
Coldplay|88
Harry Styles|88
John Legend|75
Lewis Capaldi|82
Måneskin|80
The Chainsmokers|80
Elton John|83
OneRepublic|83
The Neighbourhood|83
Olivia Rodrigo|82
Imagine Dragons|87
Olivia Rodrigo|82
Billie Eilish|87
Drake|95
Kanye West|90
JISOO|73
Joji|81
Drake|95
Olivia Rodrigo|82
Travis Scott|89
Shakira|89
Kendrick Lamar|89
SZA|89
Alec Benjamin|76
Frank Ocean|83
Rihanna|89
JAY-Z|83
SZA|89
Post Malone|88
Adele|85
The White Stripes|71
Lady Gaga|84
The Kid LAROI|79
Kali Uchis|85
Bruno Mars|87
Tame Impala|80
Coldplay|88
Eminem|90
Sam Smith|84
Shawn Mendes|83
Cris Mj|75
Stephen Sanchez|77
One Direction|85
Kendrick Lamar|89
Taylor Swift|100
Imanbek|73
Gorillaz|80
Coldplay|88
Olivia Rodrigo|82
Coldplay|88
DJ Snake|78
Dua Lipa|87
Gesaffelstein|73
Justin Bieber|89
Kendrick Lamar|89
Juice WRLD|88
Maroon 5|85
Ariana Grande|88
Paloma Faith|68
Coldplay|88
Drake|95
Maroon 5|85
Nelly Furtado|76
Childish Gambino|78
Vance Joy|75
Taylor Swift|100
WALK THE MOON|68
Travis Scott|89
Eminem|90
Sam Smith|84
Hozier|79
Ed Sheeran|90
Rihanna|89
Rihanna|89
Billie Eilish|87
Bad Bunny|96
GAYLE|67
Billie Eilish|87
Lady Gaga|84
Billie Eilish|87
Evanescence|72
The Weeknd|95
Taylor Swift|100
Lana Del Rey|91
Bryson Tiller|79
Tyler, The Creator|87
Adele|85
JAY-Z|83
Pitbull|82
Eminem|90
Taylor Swift|100
Marshmello|83
Train|78
Travis Scott|89
Måneskin|80
50 Cent|83
Ice Spice|80
Jaymes Young|69
XXXTENTACION|86
Marshmello|83
Dua Lipa|87
Eminem|90
XXXTENTACION|86
Rihanna|89
Rihanna|89
Bad Bunny|96
Justin Bieber|89
Farruko|83
Ariana Grande|88
KAROL G|89
Foster The People|71
Offset|81
Twenty One Pilots|79
Capital Cities|66
Wiz Khalifa|81
One Direction|85
Calvin Harris|86
Post Malone|88
Bad Bunny|96
Lil Nas X|78
Tiësto|84
Calvin Harris|86
Britney Spears|80
French Montana|74
Mark Ronson|73
Avicii|81
Charlie Puth|83
girl in red|73
Usher|79
Lukas Graham|70
21 Savage|90
Justin Bieber|89
Post Malone|88
Lewis Capaldi|82
DNCE|68
Carly Rae Jepsen|72
Macklemore & Ryan Lewis|74
Red Hot Chili Peppers|82
Coldplay|88
Post Malone|88
Powfu|69
Rauw Alejandro|88
Dua Lipa|87
Swedish House Mafia|75
BTS|90
Imagine Dragons|87
Calvin Harris|86
Jack Harlow|80
Daddy Yankee|87
Daft Punk|81
The Game|72
Giveon|77
Outkast|74
Black Eyed Peas|80
Lauv|75
Lil Nas X|78
P!nk|81
Bruno Mars|87
Tainy|76
Selena Gomez|84
Selena Gomez & The Scene|68
Future|90
J. Cole|87
24kGoldn|72
Swedish House Mafia|75
Outkast|74
Coldplay|88
Coldplay|88
Sean Paul|81
Miley Cyrus|87
Adele|85
XXXTENTACION|86
The Weeknd|95
Kings of Leon|74
Akon|80
Adele|85
Justin Bieber|89
Gym Class Heroes|68
Doja Cat|85
Kanye West|90
Maroon 5|85
Ariana Grande|88
Roddy Ricch|78
Jimmy Eat World|67
Hoobastank|66
Timbaland|76
Kesha|76
Pitbull|82
David Guetta|88
Shakira|89
Post Malone|88
Lil Uzi Vert|86
Lil Baby|88
Doja Cat|85
Christina Perri|70
Lizzo|76
Kodaline|68
Kendrick Lamar|89
Maroon 5|85
Camila Cabello|80
Rihanna|89
50 Cent|83
Snow Patrol|67
MKTO|65
Calum Scott|77
Luis Fonsi|74
Florence + The Machine|77
The Chainsmokers|80
Rihanna|89
Taio Cruz|69
BØRNS|67
Meek Mill|74
Pharrell Williams|79
Twenty One Pilots|79
Kanye West|90
Post Malone|88
The Weeknd|95
Alicia Keys|77
Jason Mraz|72
Martin Garrix|76
Bon Jovi|77
Ava Max|79
Doja Cat|85
Bad Bunny|96
NF|81
Avicii|81
MGMT|73
Eminem|90
Lil Wayne|86
CKay|71
Taylor Swift|100
Flo Rida|78
Nelly Furtado|76
Shawn Mendes|83
Maroon 5|85
Dua Lipa|87
Eminem|90
Calvin Harris|86
Lady Gaga|84
Lil Tecca|76
Polo G|82
Madison Beer|72
Juice WRLD|88
MAGIC!|69
Rihanna|89
Nelly Furtado|76
Shawn Mendes|83
Marshmello|83
Shawn Mendes|83
Milky Chance|74
Ariana Grande|88
OneRepublic|83
My Chemical Romance|77
Pitbull|82
Bruno Mars|87
WILLOW|71
Linkin Park|85
Pop Smoke|81
Black Eyed Peas|80
Miley Cyrus|87
Khalid|84
Kanye West|90
Amy Winehouse|74
Maroon 5|85
Carrie Underwood|72
American Authors|66
George Ezra|74
Lil Tjay|80
Sia|83
Avril Lavigne|75
Don Omar|82
Katy Perry|83
Usher|79
Kendrick Lamar|89
One Direction|85
Neon Trees|65
Alan Walker|82
Britney Spears|80
Kanye West|90
SZA|89
Post Malone|88
The Script|72
Camila Cabello|80
The Fray|68
Nickelback|76
ZAYN|75
Dua Lipa|87
Lady Gaga|84
Bruno Mars|87
3 Doors Down|70
Of Monsters and Men|67
Keyshia Cole|67
Ariana Grande|88
Playboi Carti|83
Becky G|80
Sheck Wes|64
LISA|77
Axwell /\ Ingrosso|65
Meghan Trainor|78
JAY-Z|83
One Direction|85
Rihanna|89
Miley Cyrus|87
Imagine Dragons|87
Regard|69
Katy Perry|83
Lorde|75
Rihanna|89
JAY-Z|83
Maroon 5|85
Red Hot Chili Peppers|82
One Direction|85
Nicki Minaj|86
Franz Ferdinand|66
Sean Paul|81
Tiësto|84
Zedd|74
Amy Macdonald|64
Maroon 5|85
Rauw Alejandro|88
Empire of the Sun|71
Cardi B|80
Miley Cyrus|87
Taylor Swift|100
Taylor Swift|100
Rihanna|89
Ariana Grande|88
Coldplay|88
Kanye West|90
Stromae|71
Green Day|79
Jessie J|69
Dean Lewis|75
Linkin Park|85
Ariana Grande|88
James Arthur|81
Justin Timberlake|79
Sia|83
OMI|64
Daddy Yankee|87
Demi Lovato|78
Beyoncé|87
Bad Bunny|96
Nelly|74
Rihanna|89
Tyler, The Creator|87
Jay Sean|65
Train|78
A Boogie Wit da Hoodie|83
Bryson Tiller|79
Linkin Park|85
Owl City|69
Arctic Monkeys|86
Rihanna|89
Alicia Keys|77
The Wanted|64
Post Malone|88
Bruno Mars|87
Joel Corry|75
Demi Lovato|78
Avicii|81
Plain White T's|63
The Lumineers|76
James Blunt|71
Lewis Capaldi|82
Taylor Swift|100
Cardi B|80
Mike Posner|69
Dynoro|65
Lil Nas X|78
Weezer|73
Shaggy|73
50 Cent|83
Doja Cat|85
Sam Smith|84
Meghan Trainor|78
R. City|53
Akon|80
Ellie Goulding|81
Taylor Swift|100
Zara Larsson|76
J. Cole|87
Bad Bunny|96
Usher|79
Calvin Harris|86
Drake|95
Drake|95
Jennifer Lopez|75
Britney Spears|80
The Lumineers|76
50 Cent|83
Corinne Bailey Rae|63
P!nk|81
Majestic|63
SAINt JHN|69
Kanye West|90
Alessia Cara|73
will.i.am|72
Justin Timberlake|79
Eminem|90
Nicki Minaj|86
Paramore|78
Fall Out Boy|79
Eminem|90
Foo Fighters|79
Frank Ocean|83
Fall Out Boy|79
Macklemore & Ryan Lewis|74
GROUPLOVE|64
Adele|85
Flo Rida|78
Flo Rida|78
t.A.T.u.|62
Nico & Vinz|62
Estelle|65
Taylor Swift|100
21 Savage|90
Sean Kingston|69
Nadin Amizah|67
One Direction|85
Wiz Khalifa|81
Calvin Harris|86
Ariana Grande|88
Dua Lipa|87
BTS|90
Kanye West|90
XXXTENTACION|86
Gnarls Barkley|63
Toploader|62
Red Hot Chili Peppers|82
Piso 21|75
Kesha|76
Train|78
Trevor Daniel|65
Pitbull|82
Chris Brown|86
Marshmello|83
Timbaland|76
Ariana Grande|88
Flo Rida|78
Owl City|69
Maluma|83
Drake|95
G-Eazy|75
Drake|95
Calvin Harris|86
JP Saxe|66
Ariana Grande|88
Kygo|79
MGMT|73
Soulja Boy|68
Audioslave|68
Khalid|84
Dave|66
A Boogie Wit da Hoodie|83
SZA|89
Taylor Swift|100
Bruno Mars|87
Rixton|60
THE ANXIETY|60
David Guetta|88
Maroon 5|85
M83|70
Miley Cyrus|87
Justin Timberlake|79
Drake|95
Skillet|73
Ariana Grande|88
Mark Ronson|73
Lil Nas X|78
Daft Punk|81
M.I.A.|66
Polo G|82
J. Cole|87
Post Malone|88
DaBaby|81
Limp Bizkit|74
Bad Bunny|96
Lil Peep|82
Doja Cat|85
Martin Garrix|76
David Guetta|88
George Ezra|74
Becky G|80
Adele|85
Ne-Yo|83
P!nk|81
Rihanna|89
Robin Schulz|79
Shawn Mendes|83
Muse|75
Lorde|75
Bruno Mars|87
Rae Sremmurd|73
Kungs|72
Pamungkas|70
Katy Perry|83
Mr. Probz|64
My Chemical Romance|77
Justin Bieber|89
Post Malone|88
Snoop Dogg|82
Vanessa Carlton|62
Shaggy|73
Jet|64
Masked Wolf|66
Alice Deejay|60
Ariana Grande|88
Topic|74
Bad Bunny|96
Charlie Puth|83
Rob $tone|58
Gorillaz|80
Flo Rida|78
ScHoolboy Q|72
OneRepublic|83
Fall Out Boy|79
All Time Low|69
Rihanna|89
Snoop Dogg|82
The Weeknd|95
Sia|83
Mary J. Blige|70
Calvin Harris|86
Kygo|79
Sean Paul|81
Drake|95
Macklemore|77
3 Doors Down|70
Jamie Miller|65
The Game|72
Ed Sheeran|90
gnash|63
blink-182|78
James Arthur|81
Bruno Mars|87
The 1975|79
Black Eyed Peas|80
Shakira|89
Modjo|60
Juicy Luicy|67
Major Lazer|74
BTS|90
Oliver Tree|75
John Newman|68
Miley Cyrus|87
Cassie|63
G-Eazy|75
Flo Rida|78
Imagine Dragons|87
Maroon 5|85
BTS|90
Dua Lipa|87
MEDUZA|77
Ariana Grande|88
Black Eyed Peas|80
Iyaz|63
Flo Rida|78
Justin Timberlake|79
Arizona Zervas|65
MK|65
Ariana Grande|88
Avril Lavigne|75
Rihanna|89
Rihanna|89
DJ Snake|78
Nio Garcia|72
Thirty Seconds To Mars|69
KAROL G|89
Natasha Bedingfield|65
Kings of Leon|74
Mark Ronson|73
Lana Del Rey|91
Shakira|89
fun.|66
The Killers|76
Selena Gomez & The Scene|68
Britney Spears|80
Fifth Harmony|68
Logic|76
50 Cent|83
Dominic Fike|76
Lost Frequencies|77
Justin Bieber|89
Foo Fighters|79
Leona Lewis|64
Robin Thicke|63
Loud Luxury|69
Taio Cruz|69
T-Pain|76
Red Hot Chili Peppers|82
Katy Perry|83
Eric Prydz|64
Kylie Minogue|72
Zedd|74
Mike Posner|69
Tones And I|70
Gorillaz|80
Mabel|68
Norah Jones|71
benny blanco|71
Anitta|78
A$AP Rocky|83
The Red Jumpsuit Apparatus|62
Katy Perry|83
Beyoncé|87
Alok|78
Adele|85
Kygo|79
Nelly|74
The Killers|76
Madonna|80
Surf Mesa|62
Drake|95
The Weeknd|95
Sum 41|72
Justin Bieber|89
Pitbull|82
Labrinth|80
Eve|67
Hailee Steinfeld|71
T.I.|74
Anne-Marie|80
Russ|76
Beyoncé|87
Future|90
DJ Snake|78
Lil Nas X|78
Post Malone|88
Dennis Lloyd|66
Kehlani|74
Waka Flocka Flame|66
Jeremih|73
The Chainsmokers|80
Katy Perry|83
Jonas Blue|76
Bastille|74
Kanye West|90
Jessie J|69
Mustard|67
X Ambassadors|72
The Strokes|76
Nelly|74
Galantis|72
Jawsh 685|61
Tory Lanez|80
Anuel AA|88
OneRepublic|83
Shakira|89
Niall Horan|79
Alien Ant Farm|59
Sia|83
Migos|76
Kygo|79
Kelly Clarkson|74
Lil Wayne|86
Surfaces|68
Jason Derulo|79
Rae Sremmurd|73
Drake|95
Jason Derulo|79
Bruno Mars|87
Miley Cyrus|87
THE SCOTTS|57
Ozuna|87
Taylor Swift|100
DJ Khaled|76
Halsey|83
James Blunt|71
Florence + The Machine|77
Kodak Black|83
Fetty Wap|69
B.o.B|72
Daniel Powter|59
U2|77
Ed Sheeran|90
Ne-Yo|83
Limp Bizkit|74
Jack Johnson|76
Rae Sremmurd|73
Lil Mosey|69
Adele|85
Anuel AA|88
Britney Spears|80
Eminem|90
Soulja Boy|68
Justin Timberlake|79
Sam Smith|84
Ariana Grande|88
Alex Gaudino|60
Jessie J|69
Jeremih|73
Sean Kingston|69
Jonas Blue|76
Sum 41|72
Avril Lavigne|75
Lizzo|76
Kanye West|90
Tove Lo|74
One Direction|85
Drake|95
Big Sean|77
Three Days Grace|74
Lauv|75
Coldplay|88
Guru Josh Project|57
Nelly|74
Kendrick Lamar|89
Gigi D'Agostino|68
Katy Perry|83
Disclosure|72
Mario|65
Dua Lipa|87
Rascal Flatts|69
Far East Movement|65
Alex & Sierra|57
One Direction|85
One Direction|85
DJ Snake|78
Bebe Rexha|81
J Balvin|86
Bazzi|71
